"county","class","practice","cps","implementation","total_ghg_co2"
"Adams","Cropland to Herbaceous Cover","Field Border (CPS 386)","386","Convert Strips of Non-Irrigated Cropland to Permanent Unfertilized Grass Cover",0.443267646
"Adams","Cropland to Herbaceous Cover","Field Border (CPS 386)","386","Convert Strips of Non-Irrigated Cropland to Permanent Unfertilized Grass/Legume Cover",0.793781982
"Adams","Cropland to Herbaceous Cover","Filter Strip (CPS 393)","393","Convert Strips of Irrigated Cropland to Permanent Unfertilized Grass Cover",0.200949009
"Adams","Cropland to Herbaceous Cover","Filter Strip (CPS 393)","393","Convert Strips of Irrigated Cropland to Permanent Unfertilized Grass/Legume Cover",0.515542654
"Adams","Cropland to Herbaceous Cover","Filter Strip (CPS 393)","393","Convert Strips of Non-Irrigated Cropland to Permanent Unfertilized Grass Cover",0.443267646
"Adams","Cropland to Herbaceous Cover","Filter Strip (CPS 393)","393","Convert Strips of Non-Irrigated Cropland to Permanent Unfertilized Grass/Legume Cover",0.793781982
"Adams","Cropland to Herbaceous Cover","Forage and Biomass Planting (CPS 512)","512","Conversion of Annual Cropland to Irrigated Grass/Legume Forage/Biomass Crops",1.229513131
"Adams","Cropland to Herbaceous Cover","Forage and Biomass Planting (CPS 512)","512","Conversion of Annual Cropland to Non-Irrigated Grass/Legume Forage/Biomass Crops",0.81413068
"Adams","Cropland to Herbaceous Cover","Grassed Waterway (CPS 412)","412","Convert Strips of Irrigated Cropland to Permanent Unfertilized Grass Cover",0.200949009
"Adams","Cropland to Herbaceous Cover","Grassed Waterway (CPS 412)","412","Convert Strips of Irrigated Cropland to Permanent Unfertilized Grass/Legume Cover",0.515542654
"Adams","Cropland to Herbaceous Cover","Grassed Waterway (CPS 412)","412","Convert Strips of Non-Irrigated Cropland to Permanent Unfertilized Grass Cover",0.443267646
"Adams","Cropland to Herbaceous Cover","Grassed Waterway (CPS 412)","412","Convert Strips of Non-Irrigated Cropland to Permanent Unfertilized Grass/Legume Cover",0.793781982
"Adams","Cropland to Herbaceous Cover","Herbaceous Wind Barriers (CPS 603)","603","Convert Strips of Irrigated Cropland to Permanent Unfertilized Grass Cover",0.200949009
"Adams","Cropland to Herbaceous Cover","Herbaceous Wind Barriers (CPS 603)","603","Convert Strips of Irrigated Cropland to Permanent Unfertilized Grass/Legume Cover",0.515542654
"Adams","Cropland to Herbaceous Cover","Herbaceous Wind Barriers (CPS 603)","603","Convert Strips of Non-Irrigated Cropland to Permanent Unfertilized Grass Cover",0.443267646
"Adams","Cropland to Herbaceous Cover","Herbaceous Wind Barriers (CPS 603)","603","Convert Strips of Non-Irrigated Cropland to Permanent Unfertilized Grass/Legume Cover",0.793781982
"Adams","Cropland to Herbaceous Cover","Riparian Herbaceous Cover (CPS 390)","390","Convert Irrigated Cropland to Permanent Unfertilized Grass Cover Near Aquatic Habitats",0.200949009
"Adams","Cropland to Herbaceous Cover","Riparian Herbaceous Cover (CPS 390)","390","Convert Irrigated Cropland to Permanent Unfertilized Grass/Legume Cover Near Aquatic Habitats",0.515542654
"Adams","Cropland to Herbaceous Cover","Riparian Herbaceous Cover (CPS 390)","390","Convert Non-Irrigated Cropland to Permanent Unfertilized Grass Cover Near Aquatic Habitats",0.443267646
"Adams","Cropland to Herbaceous Cover","Riparian Herbaceous Cover (CPS 390)","390","Convert Non-Irrigated Cropland to Permanent Unfertilized Grass/Legume Cover Near Aquatic Habitats",0.793781982
"Adams","Cropland to Herbaceous Cover","Vegetative Barriers (CPS 601)","601","Convert Strips of Irrigated Cropland to Permanent Unfertilized Grass Cover",0.200949009
"Adams","Cropland to Herbaceous Cover","Vegetative Barriers (CPS 601)","601","Convert Strips of Irrigated Cropland to Permanent Unfertilized Grass/Legume Cover",0.515542654
"Adams","Cropland to Herbaceous Cover","Vegetative Barriers (CPS 601)","601","Convert Strips of Non-Irrigated Cropland to Permanent Unfertilized Grass Cover",0.443267646
"Adams","Cropland to Herbaceous Cover","Vegetative Barriers (CPS 601)","601","Convert Strips of Non-Irrigated Cropland to Permanent Unfertilized Grass/Legume Cover",0.793781982
"Adams","Grazing Lands","Nutrient Management (CPS 590)","590","Replace Synthetic N Fertilizer with Beef Feedlot Manure on Managed Irrigated Pasture",0.099549833
"Adams","Grazing Lands","Nutrient Management (CPS 590)","590","Replace Synthetic N Fertilizer with Beef Feedlot Manure on Managed Non-Irrigated Pasture",0.156275463
"Adams","Grazing Lands","Nutrient Management (CPS 590)","590","Replace Synthetic N Fertilizer with Chicken Broiler Manure on Managed Irrigated Pasture",0.032447154
"Adams","Grazing Lands","Nutrient Management (CPS 590)","590","Replace Synthetic N Fertilizer with Chicken Broiler Manure on Managed Non-Irrigated Pasture",0.152367627
"Adams","Grazing Lands","Nutrient Management (CPS 590)","590","Replace Synthetic N Fertilizer with Chicken Layer Manure on Managed Irrigated Pasture",0.032447154
"Adams","Grazing Lands","Nutrient Management (CPS 590)","590","Replace Synthetic N Fertilizer with Chicken Layer Manure on Managed Non-Irrigated Pasture",0.152367627
"Adams","Grazing Lands","Nutrient Management (CPS 590)","590","Replace Synthetic N Fertilizer with Compost (CN ratio 10) on Managed Irrigated Pasture",0.068010908
"Adams","Grazing Lands","Nutrient Management (CPS 590)","590","Replace Synthetic N Fertilizer with Compost (CN ratio 10) on Managed Non-Irrigated Pasture",0.155963097
"Adams","Grazing Lands","Nutrient Management (CPS 590)","590","Replace Synthetic N Fertilizer with Compost (CN ratio 15) on Managed Irrigated Pasture",0.144130706
"Adams","Grazing Lands","Nutrient Management (CPS 590)","590","Replace Synthetic N Fertilizer with Compost (CN ratio 15) on Managed Non-Irrigated Pasture",0.159898898
"Adams","Grazing Lands","Nutrient Management (CPS 590)","590","Replace Synthetic N Fertilizer with Compost (CN ratio 20) on Managed Irrigated Pasture",0.212057185
"Adams","Grazing Lands","Nutrient Management (CPS 590)","590","Replace Synthetic N Fertilizer with Compost (CN ratio 20) on Managed Non-Irrigated Pasture",0.161672414
"Adams","Grazing Lands","Nutrient Management (CPS 590)","590","Replace Synthetic N Fertilizer with Compost (CN ratio 25) on Managed Irrigated Pasture",0.271104383
"Adams","Grazing Lands","Nutrient Management (CPS 590)","590","Replace Synthetic N Fertilizer with Compost (CN ratio 25) on Managed Non-Irrigated Pasture",0.163526703
"Adams","Grazing Lands","Nutrient Management (CPS 590)","590","Replace Synthetic N Fertilizer with Other Manure on Managed Irrigated Pasture",0.099549836
"Adams","Grazing Lands","Nutrient Management (CPS 590)","590","Replace Synthetic N Fertilizer with Other Manure on Managed Non-Irrigated Pasture",0.156275463
"Adams","Grazing Lands","Nutrient Management (CPS 590)","590","Replace Synthetic N Fertilizer with Sheep Manure on Managed Irrigated Pasture",0.099549836
"Adams","Grazing Lands","Nutrient Management (CPS 590)","590","Replace Synthetic N Fertilizer with Sheep Manure on Managed Non-Irrigated Pasture",0.156275463
"Adams","Grazing Lands","Nutrient Management (CPS 590)","590","Replace Synthetic N Fertilizer with Swine Manure on Managed Irrigated Pasture",0.144130708
"Adams","Grazing Lands","Nutrient Management (CPS 590)","590","Replace Synthetic N Fertilizer with Swine Manure on Managed Non-Irrigated Pasture",0.159898898
"Adams","Grazing Lands","Prescribed Grazing (CPS 528)","528","Grazing Management to Improve Irrigated Pasture Condition",0.041185798
"Adams","Grazing Lands","Prescribed Grazing (CPS 528)","528","Grazing Management to Improve Rangeland or Non-Irrigated Pasture Condition",0.010540967
"Adams","Grazing Lands","Range Planting (CPS 550)","550","Seeding Forages to Improve Rangeland Condition",0.339271247
"Adams","Restoration of Disturbed Lands","Critical Area Planting (CPS 342)","342","Restore Highly Disturbed Areas by Planting Permanent Vegetative Cover",1.048583031
"Adams","Restoration of Disturbed Lands","Riparian Restoration",,"Restore Degraded Riparian Areas by Planting Woody Plants",0.995951414
"Adams","Woody Plantings","Hedgerow Planting (CPS 422)","422","Replace a Strip of Cropland with 1 Row of Woody Plants (Conifer)",6.444254196
"Adams","Woody Plantings","Hedgerow Planting (CPS 422)","422","Replace a Strip of Grassland with 1 Row of Woody Plants (Conifer)",6.082658155
"Adams","Woody Plantings","Riparian Forest Buffer (CPS 391)","391","Replace a Strip of Cropland Near Watercourses or Water Bodies with Woody Plants (Hardwood/Conifer)",3.811538195
"Adams","Woody Plantings","Riparian Forest Buffer (CPS 391)","391","Replace a Strip of Grassland Near Watercourses or Water Bodies with Woody Plants (Hardwood/Conifer)",3.449942154
"Adams","Woody Plantings","Tree/Shrub Establishment (CPS 612)","612","Conversion of Annual Cropland to a Farm Woodlot (Conifer)",5.575303031
"Adams","Woody Plantings","Tree/Shrub Establishment (CPS 612)","612","Conversion of Grassland to a Farm Woodlot (Conifer)",5.21370699
"Adams","Woody Plantings","Windbreak/Shelterbelt Establishment (CPS 380)","380","Replace a Strip of Cropland with 1 Row of Woody Plants (Conifer)",6.444254196
"Adams","Woody Plantings","Windbreak/Shelterbelt Establishment (CPS 380)","380","Replace a Strip of Cropland with 2 Rows of Woody Plants (Mixed Conifers)",11.03234732
"Adams","Woody Plantings","Windbreak/Shelterbelt Establishment (CPS 380)","380","Replace a Strip of Cropland with 3 Rows of Woody Plants (Hardwood/Conifer)",4.474507474
"Adams","Woody Plantings","Windbreak/Shelterbelt Establishment (CPS 380)","380","Replace a Strip of Grassland with 1 Row of Woody Plants (Conifer)",6.082658155
"Adams","Woody Plantings","Windbreak/Shelterbelt Establishment (CPS 380)","380","Replace a Strip of Grassland with 2 Rows of Woody Plants (Mixed Conifers)",10.67075128
"Adams","Woody Plantings","Windbreak/Shelterbelt Establishment (CPS 380)","380","Replace a Strip of Grassland with 3 Rows of Woody Plants (Hardwood/Conifer)",4.112911433
"Asotin","Cropland Management","Combustion System Improvement (CPS 372)","372","Improved Farm Equipment Fuel Efficiency",0.012145749
"Asotin","Cropland Management","Conservation Crop Rotation (CPS 328)","328","Decrease Fallow Frequency or Add Perennial Crops to Rotations",0.222672067
"Asotin","Cropland Management","Cover Crop (CPS 340)","340","Add Legume Seasonal Cover Crop (with 50% Fertilizer N Reduction) to Irrigated Cropland",0.059053896
"Asotin","Cropland Management","Cover Crop (CPS 340)","340","Add Legume Seasonal Cover Crop (with 50% Fertilizer N Reduction) to Non-Irrigated Cropland",0.041570921
"Asotin","Cropland Management","Cover Crop (CPS 340)","340","Add Legume Seasonal Cover Crop (with 50% Fertilizer N Reduction) to No-Till Irrigated Cropland",0.085961136
"Asotin","Cropland Management","Cover Crop (CPS 340)","340","Add Legume Seasonal Cover Crop (with 50% Fertilizer N Reduction) to No-Till Non-Irrigated Cropland",0.060421251
"Asotin","Cropland Management","Cover Crop (CPS 340)","340","Add Non-Legume Seasonal Cover Crop (with 25% Fertilizer N Reduction) to Irrigated Cropland",-0.030483337
"Asotin","Cropland Management","Cover Crop (CPS 340)","340","Add Non-Legume Seasonal Cover Crop (with 25% Fertilizer N Reduction) to Non-Irrigated Cropland",0.005795517
"Asotin","Cropland Management","Cover Crop (CPS 340)","340","Add Non-Legume Seasonal Cover Crop (with 25% Fertilizer N Reduction) to No-Till Irrigated Cropland",0.005780377
"Asotin","Cropland Management","Cover Crop (CPS 340)","340","Add Non-Legume Seasonal Cover Crop (with 25% Fertilizer N Reduction) to No-Till Non-Irrigated Cropland",0.024992246
"Asotin","Cropland Management","Mulching (CPS 484)","484","Add Mulch to Croplands",0.323076934
"Asotin","Cropland Management","Nutrient Management (CPS 590)","590","Improved N Fertilizer Management on Irrigated Croplands - Reduce Fertilizer Application Rate by 15%",-0.035912268
"Asotin","Cropland Management","Nutrient Management (CPS 590)","590","Improved N Fertilizer Management on Non-Irrigated Croplands - Reduce Fertilizer Application Rate by 15%",0.026168423
"Asotin","Cropland Management","Nutrient Management (CPS 590)","590","Replace Synthetic N Fertilizer with Beef Feedlot Manure on Irrigated Croplands",0.214429344
"Asotin","Cropland Management","Nutrient Management (CPS 590)","590","Replace Synthetic N Fertilizer with Beef Feedlot Manure on Non-Irrigated Croplands",0.326951573
"Asotin","Cropland Management","Nutrient Management (CPS 590)","590","Replace Synthetic N Fertilizer with Chicken Broiler Manure on Irrigated Croplands",0.12545536
"Asotin","Cropland Management","Nutrient Management (CPS 590)","590","Replace Synthetic N Fertilizer with Chicken Broiler Manure on Non-Irrigated Croplands",0.26220568
"Asotin","Cropland Management","Nutrient Management (CPS 590)","590","Replace Synthetic N Fertilizer with Chicken Layer Manure on Irrigated Croplands",0.125455357
"Asotin","Cropland Management","Nutrient Management (CPS 590)","590","Replace Synthetic N Fertilizer with Chicken Layer Manure on Non-Irrigated Croplands",0.26220568
"Asotin","Cropland Management","Nutrient Management (CPS 590)","590","Replace Synthetic N Fertilizer with Compost (CN ratio 10) on Irrigated Croplands",0.172316224
"Asotin","Cropland Management","Nutrient Management (CPS 590)","590","Replace Synthetic N Fertilizer with Compost (CN ratio 10) on Non-Irrigated Croplands",0.299654012
"Asotin","Cropland Management","Nutrient Management (CPS 590)","590","Replace Synthetic N Fertilizer with Compost (CN ratio 15) on Irrigated Croplands",0.28037353
"Asotin","Cropland Management","Nutrient Management (CPS 590)","590","Replace Synthetic N Fertilizer with Compost (CN ratio 15) on Non-Irrigated Croplands",0.396987258
"Asotin","Cropland Management","Nutrient Management (CPS 590)","590","Replace Synthetic N Fertilizer with Compost (CN ratio 20) on Irrigated Croplands",0.384610635
"Asotin","Cropland Management","Nutrient Management (CPS 590)","590","Replace Synthetic N Fertilizer with Compost (CN ratio 20) on Non-Irrigated Croplands",0.488709485
"Asotin","Cropland Management","Nutrient Management (CPS 590)","590","Replace Synthetic N Fertilizer with Compost (CN ratio 25) on Irrigated Croplands",0.484991873
"Asotin","Cropland Management","Nutrient Management (CPS 590)","590","Replace Synthetic N Fertilizer with Compost (CN ratio 25) on Non-Irrigated Croplands",0.582743925
"Asotin","Cropland Management","Nutrient Management (CPS 590)","590","Replace Synthetic N Fertilizer with Dairy Manure on Irrigated Croplands",0.21442934
"Asotin","Cropland Management","Nutrient Management (CPS 590)","590","Replace Synthetic N Fertilizer with Dairy Manure on Non-Irrigated Croplands",0.326951573
"Asotin","Cropland Management","Nutrient Management (CPS 590)","590","Replace Synthetic N Fertilizer with Other Manure on Irrigated Croplands",0.21442934
"Asotin","Cropland Management","Nutrient Management (CPS 590)","590","Replace Synthetic N Fertilizer with Other Manure on Non-Irrigated Croplands",0.326951573
"Asotin","Cropland Management","Nutrient Management (CPS 590)","590","Replace Synthetic N Fertilizer with Sheep Manure on Irrigated Croplands",0.216229315
"Asotin","Cropland Management","Nutrient Management (CPS 590)","590","Replace Synthetic N Fertilizer with Sheep Manure on Non-Irrigated Croplands",0.326951573
"Asotin","Cropland Management","Nutrient Management (CPS 590)","590","Replace Synthetic N Fertilizer with Swine Manure on Irrigated Croplands",0.314269085
"Asotin","Cropland Management","Nutrient Management (CPS 590)","590","Replace Synthetic N Fertilizer with Swine Manure on Non-Irrigated Croplands",0.435316338
"Asotin","Cropland Management","Residue and Tillage Management - No-Till (CPS 329)","329","Intensive Till to No Till or Strip Till on Irrigated Cropland",0.177478371
"Asotin","Cropland Management","Residue and Tillage Management - No-Till (CPS 329)","329","Intensive Till to No Till or Strip Till on Non-Irrigated Cropland",0.233889679
"Asotin","Cropland Management","Residue and Tillage Management - No-Till (CPS 329)","329","Reduced Till to No Till or Strip Till on Irrigated Cropland",0.094435585
"Asotin","Cropland Management","Residue and Tillage Management - No-Till (CPS 329)","329","Reduced Till to No Till or Strip Till on Non-Irrigated Cropland",0.140238824
"Asotin","Cropland Management","Residue and Tillage Management - Reduced Till (CPS 345)","345","Intensive Till to Reduced Till on Irrigated Cropland",0.054613568
"Asotin","Cropland Management","Residue and Tillage Management - Reduced Till (CPS 345)","345","Intensive Till to Reduced Till on Non-Irrigated Cropland",0.120481999
"Asotin","Cropland Management","Stripcropping (CPS 585)","585","Add Perennial Cover Grown in Strips with Irrigated Annual Crops",0.238866404
"Asotin","Cropland Management","Stripcropping (CPS 585)","585","Add Perennial Cover Grown in Strips with Non-Irrigated Annual Crops",0.238866404
"Asotin","Cropland to Herbaceous Cover","Conservation Cover (CPS 327)","327","Convert Irrigated Cropland to Permanent Unfertilized Grass Cover",0.164669002
"Asotin","Cropland to Herbaceous Cover","Conservation Cover (CPS 327)","327","Convert Irrigated Cropland to Permanent Unfertilized Grass/Legume Cover",0.500930847
"Asotin","Cropland to Herbaceous Cover","Conservation Cover (CPS 327)","327","Convert Non-Irrigated Cropland to Permanent Unfertilized Grass Cover",0.259100855
"Asotin","Cropland to Herbaceous Cover","Conservation Cover (CPS 327)","327","Convert Non-Irrigated Cropland to Permanent Unfertilized Grass/Legume Cover",0.946875426
"Asotin","Cropland to Herbaceous Cover","Contour Buffer Strips (CPS 332)","332","Convert Strips of Irrigated Cropland to Permanent Unfertilized Grass Cover",0.164669002
"Asotin","Cropland to Herbaceous Cover","Contour Buffer Strips (CPS 332)","332","Convert Strips of Irrigated Cropland to Permanent Unfertilized Grass/Legume Cover",0.500930847
"Asotin","Cropland to Herbaceous Cover","Contour Buffer Strips (CPS 332)","332","Convert Strips of Non-Irrigated Cropland to Permanent Unfertilized Grass Cover",0.259100855
"Asotin","Cropland to Herbaceous Cover","Contour Buffer Strips (CPS 332)","332","Convert Strips of Non-Irrigated Cropland to Permanent Unfertilized Grass/Legume Cover",0.946875426
"Asotin","Cropland to Herbaceous Cover","Field Border (CPS 386)","386","Convert Strips of Irrigated Cropland to Permanent Unfertilized Grass Cover",0.164669002
"Asotin","Cropland to Herbaceous Cover","Field Border (CPS 386)","386","Convert Strips of Irrigated Cropland to Permanent Unfertilized Grass/Legume Cover",0.500930847
"Asotin","Cropland to Herbaceous Cover","Field Border (CPS 386)","386","Convert Strips of Non-Irrigated Cropland to Permanent Unfertilized Grass Cover",0.259100855
"Asotin","Cropland to Herbaceous Cover","Field Border (CPS 386)","386","Convert Strips of Non-Irrigated Cropland to Permanent Unfertilized Grass/Legume Cover",0.946875426
"Asotin","Cropland to Herbaceous Cover","Filter Strip (CPS 393)","393","Convert Strips of Irrigated Cropland to Permanent Unfertilized Grass Cover",0.164669002
"Asotin","Cropland to Herbaceous Cover","Filter Strip (CPS 393)","393","Convert Strips of Irrigated Cropland to Permanent Unfertilized Grass/Legume Cover",0.500930847
"Asotin","Cropland to Herbaceous Cover","Filter Strip (CPS 393)","393","Convert Strips of Non-Irrigated Cropland to Permanent Unfertilized Grass Cover",0.259100855
"Asotin","Cropland to Herbaceous Cover","Filter Strip (CPS 393)","393","Convert Strips of Non-Irrigated Cropland to Permanent Unfertilized Grass/Legume Cover",0.946875426
"Asotin","Cropland to Herbaceous Cover","Forage and Biomass Planting (CPS 512)","512","Conversion of Annual Cropland to Irrigated Grass/Legume Forage/Biomass Crops",1.196464613
"Asotin","Cropland to Herbaceous Cover","Forage and Biomass Planting (CPS 512)","512","Conversion of Annual Cropland to Non-Irrigated Grass/Legume Forage/Biomass Crops",1.07509135
"Asotin","Cropland to Herbaceous Cover","Grassed Waterway (CPS 412)","412","Convert Strips of Irrigated Cropland to Permanent Unfertilized Grass Cover",0.164669002
"Asotin","Cropland to Herbaceous Cover","Grassed Waterway (CPS 412)","412","Convert Strips of Irrigated Cropland to Permanent Unfertilized Grass/Legume Cover",0.500930847
"Asotin","Cropland to Herbaceous Cover","Grassed Waterway (CPS 412)","412","Convert Strips of Non-Irrigated Cropland to Permanent Unfertilized Grass Cover",0.259100855
"Asotin","Cropland to Herbaceous Cover","Grassed Waterway (CPS 412)","412","Convert Strips of Non-Irrigated Cropland to Permanent Unfertilized Grass/Legume Cover",0.946875426
"Asotin","Cropland to Herbaceous Cover","Herbaceous Wind Barriers (CPS 603)","603","Convert Strips of Irrigated Cropland to Permanent Unfertilized Grass Cover",0.164669002
"Asotin","Cropland to Herbaceous Cover","Herbaceous Wind Barriers (CPS 603)","603","Convert Strips of Irrigated Cropland to Permanent Unfertilized Grass/Legume Cover",0.500930847
